deputat,partia,perc_for,votes_for,tvo,oblast,year,tvo_pres,pres_candidate,pres_perc_for,pres_votes_for,winner,info,proposed,registration,gender,age,birthday,job,city_living,average_age,pop_change,region_ideology,previous,funding,power_status,party_ideology,prop_election_forecast
Мельничук Сергій Петрович,Самовисування,NA,NA,38,Дніпропетровська область,2019,38,NA,0,0,NA,"народився 26 сiчня 1972 року в місті Черняхів Житомирської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в місті Вінниці, судимість відсутня, самовисування.",Самовисування,21.06.2019,M,47,26.1.1972,народний депутат України,проживає в місті Вінниці,41,-4.8,grey,1,3150,no,grey,NA
Нестеренко Вадим Григорович,Самовисування,NA,NA,38,Дніпропетровська область,2019,38,NA,0,0,NA,"народився 5 грудня 1970 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, безпартійний, проживає в селі Миколаївка Новомосковського району Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,20.06.2019,M,49,5.12.1970,народний депутат України,проживає в селі Миколаївка Новомосковського району Дніпропетровської області,41,-4.8,grey,1,3150,no,grey,NA
Нестеренко Вадим Миколайович,Самовисування,NA,NA,38,Дніпропетровська область,2019,38,NA,0,0,NA,"народився 2 серпня 1963 року в місті Баку, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, головний інструктор з основної діяльності, Громадська організація  ССК ""Стархантер"", безпартійний, проживає в селі Чайки Києво-Святошинського району Київської області, судимість відсутня, самовисування.",Самовисування,15.06.2019,M,56,2.8.1963,головний інструктор з основної діяльності,проживає в селі Чайки Києво-Святошинського району Київської області,41,-4.8,grey,0,0,no,grey,NA
Нємченко Юрій Вікторович,"політична партія Всеукраїнське об’єднання ""Свобода""",NA,NA,38,Дніпропетровська область,2019,38,Кошулинський Руслан,0.49639037865953,460,NA,"народився 21 травня 1978 року в місті Новомосковськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, менеджер з оптової торгівлі, ТОВ ТД ""Український продукт"", член політичної партії Всеукраїнське об’єднання ""Свобода"", проживає в місті Новомосковськ Дніпропетровської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Свобода"".","політична партія Всеукраїнське об’єднання ""Свобода""",25.06.2019,M,41,21.5.1978,менеджер з оптової торгівлі,проживає в місті Новомосковськ Дніпропетровської області,41,-4.8,grey,0,0,no,orange,NA
Ніколаєв Олександр Іванович,Самовисування,NA,NA,38,Дніпропетровська область,2019,38,NA,0,0,NA,"народився 19 серпня 1955 року в місті Мала Виска Кіровоградської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, безпартійний, проживає в селі Чумаки Дніпровського району Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,21.06.2019,M,64,19.8.1955,пенсіонер,проживає в селі Чумаки Дніпровського району Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Скакуненко Віталій Володимирович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",NA,NA,38,Дніпропетровська область,2019,38,Тимошенко Юлія,7.70700018344862,7142,NA,"народився 6 лютого 1984 року в місті Новомосковськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, ТОВ ""ТД Перспектива-А"", безпартійний, проживає в місті Дніпрі, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""",24.06.2019,M,35,6.2.1984,заступник директора,проживає в місті Дніпрі,41,-4.8,grey,0,0,no,orange,NA
Шилова Вікторія Віталіївна,Самовисування,NA,NA,38,Дніпропетровська область,2019,38,NA,0,0,NA,"народилася 4 травня 1972 року в місті Новомосковськ Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійнa, проживає в місті Новомосковськ Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,21.06.2019,F,47,4.5.1972,тимчасово не працює,проживає в місті Новомосковськ Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Шкуратський Денис Віталійович,Самовисування,NA,NA,38,Дніпропетровська область,2019,38,NA,0,0,NA,"народився 7 грудня 1991 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, інспектор з безпеки відділу безпеки, ТОВ ""ДНІПРОВСЬКИЙ ХЛІБОКОМБІНАТ № 11"", член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Кам’янське Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,24.06.2019,M,28,7.12.1991,інспектор з безпеки відділу безпеки,проживає в місті Кам’янське Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Антіпов Валентин Миколайович,Самовисування,NA,NA,39,Дніпропетровська область,2019,39,NA,0,0,NA,"народився 18 вересня 1963 року в селі Миколаївка Петропавлівського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник відділу моніторингу питань адаптації учасників бойових дій та внутрішньо переміщених осіб управління з питань гуманітарної, соціально-культурної сфери та освіти, виконавчий апарат Дніпропетровської обласної ради, безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",Самовисування,21.06.2019,M,56,18.9.1963,начальник відділу моніторингу питань адаптації учасників бойових дій та внутрішньо переміщених осіб управління з питань гуманітарної,проживає в місті Дніпрі,41,-4.8,grey,0,0,no,grey,NA
Бордюг Костянтин Дмитрович,Самовисування,NA,NA,39,Дніпропетровська область,2019,39,NA,0,0,NA,"народився 24 лютого 1967 року в місті Кременчук Полтавської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, КП ""Дніпропетровське обласне клінічне лікувально-профілактичне об’єднання ""Фтизіатрія"" Дніпропетровської обласної ради"", безпартійний, проживає в смт Васильківка Васильківського району Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,11.06.2019,M,52,24.2.1967,генеральний директор,проживає в смт Васильківка Васильківського району Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Гаврилов Микола Васильович,Самовисування,NA,NA,39,Дніпропетровська область,2019,39,NA,0,0,NA,"народився 10 серпня 1966 року в селі Новопавлівка Межівського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник Новопавлівського сільського голови з питань діяльності виконавчих органів ради, виконавчий комітет Новопавлівської сільської ради, безпартійний, проживає в селі Новопавлівка Межівського району Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,14.06.2019,M,53,10.8.1966,заступник Новопавлівського сільського голови з питань діяльності виконавчих органів ради,проживає в селі Новопавлівка Межівського району Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Гулієв Фархад Давід огли,Самовисування,NA,NA,39,Дніпропетровська область,2019,39,NA,0,0,NA,"народився 18 травня 1987 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник відділу роботи з судовими та правоохоронними органами, Департамент будівництва та житлового забезпечення виконавчого органу Київської міської ради (Київської міської державної адміністрації), безпартійний, проживає в місті Києві, судимість відсутня, самовисування.",Самовисування,25.06.2019,M,32,18.5.1987,начальник відділу роботи з судовими та правоохоронними органами,проживає в місті Києві,41,-4.8,grey,0,0,no,grey,NA
Зигало Іван Вікторович,Самовисування,NA,NA,39,Дніпропетровська область,2019,39,NA,0,0,NA,"народився 28 вересня 1983 року в місті Мелітополь Запорізької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""ЗИГА І СИНИ"", безпартійний, проживає в місті Кам’янське Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,15.06.2019,M,36,28.9.1983,директор,проживає в місті Кам’янське Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Коваль Юрій Костянтинович,Самовисування,NA,NA,39,Дніпропетровська область,2019,39,NA,0,0,NA,"народився 10 липня 1982 року в селі Дерезувате Сінельніковського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, директор, ТОВ ""Агрокомплекс Добробут"", безпартійний, проживає в селі Дерезувате Синельниківського району Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,20.06.2019,M,37,10.7.1982,директор,проживає в селі Дерезувате Синельниківського району Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Манько Валентин Миколайович,Самовисування,NA,NA,39,Дніпропетровська область,2019,39,NA,0,0,NA,"народився 29 сiчня 1981 року в селі Григорівка Васильківського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора з юридичних питань, ТОВ ""Охоронна фірма ""Альфа-Щит"", безпартійний, проживає в селі Журавлинка Васильківського району Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,20.06.2019,M,38,29.1.1981,заступник директора з юридичних питань,проживає в селі Журавлинка Васильківського району Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Мелікян Гарік Альбертович,Самовисування,NA,NA,39,Дніпропетровська область,2019,39,NA,0,0,NA,"народився 4 листопада 1960 року в місті Тбілісі, Грузія, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, приватне виробничо-комерційне підприємство ""Мелік"", безпартійний, проживає в місті Синельникове Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,20.06.2019,M,59,4.11.1960,директор,проживає в місті Синельникове Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Пустова Марія Іванівна,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",NA,NA,39,Дніпропетровська область,2019,39,Бойко Юрій,16.3432634811184,15169,NA,"народилася 1 сiчня 1958 року в селі Держанівка Носівського району Чернігівської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, пенсіонер, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Дніпрі, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".","Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",24.06.2019,F,61,1.1.1958,пенсіонер,проживає в місті Дніпрі,41,-4.8,grey,0,0,no,blue,NA
Савінська Ілона Валеріївна,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",NA,NA,39,Дніпропетровська область,2019,39,Вілкул Олександр,7.29084738458223,6767,NA,"народилася 29 сiчня 1974 року в місті Кривий Ріг Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Петропавлівська районна державна адміністрація, безпартійнa, проживає в селищі Васильківка Васильківського району Дніпропетровської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".","Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",25.06.2019,F,45,29.1.1974,голова,проживає в селищі Васильківка Васильківського району Дніпропетровської області,41,-4.8,grey,0,0,no,blue,NA
Северин Сергій Сергійович,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",NA,NA,39,Дніпропетровська область,2019,39,Зеленський Володимир,41.5245380595809,38541,NA,"народився 20 червня 1980 року в смт Покровське Покровського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник голови – начальник управління економіки, бюджету та фінансів, виконавчий апарат Дніпропетровської обласної ради, безпартійний, проживає в місті Дніпрі, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".","ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",25.06.2019,M,39,20.6.1980,заступник голови – начальник управління економіки,проживає в місті Дніпрі,41,-4.8,grey,0,0,yes,orange,NA
Сиромятніков Дмитро Юрійович,Самовисування,NA,NA,39,Дніпропетровська область,2019,39,NA,0,0,NA,"народився 19 серпня 1979 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в селі  Вербове Синельниківського району Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,23.06.2019,M,40,19.8.1979,тимчасово не працює,проживає в селі  Вербове Синельниківського району Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Смирний Сергій Олександрович,Самовисування,NA,NA,39,Дніпропетровська область,2019,39,NA,0,0,NA,"народився 16 лютого 1984 року в селищі Петропавлівка Петропавлівського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ТОВ ""МАС.ТОРГ"", ТОВ ""ДОНСТРОЙКОНСАЛТИНГ"", ТОВ ""ЮРИДИЧНЕ БЮРО ""СМИРНИЙ ТА ПАРТНЕРИ"", безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",Самовисування,18.06.2019,M,35,16.2.1984,директор,проживає в місті Дніпрі,41,-4.8,grey,0,0,no,grey,NA
Хорішко Володимир Дмитрович,Самовисування,NA,NA,39,Дніпропетровська область,2019,39,NA,0,0,NA,"народився 3 грудня 1958 року в селі Миколаївка Новомосковського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, Зайцівський сільський голова Синельниківського району Дніпропетровської області, безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",Самовисування,10.06.2019,M,61,3.12.1958,Зайцівський сільський голова Синельниківського району Дніпропетровської області,проживає в місті Дніпрі,41,-4.8,grey,0,0,no,grey,NA
Дідич Валентин Володимирович,Самовисування,NA,NA,40,Дніпропетровська область,2019,40,NA,0,0,NA,"народився 11 жовтня 1957 року в селі Завадівка Володарського району Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, народний депутат України, член ПОЛІТИЧНОЇ ПАРТІЇ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ПАТРІОТІВ – УКРОП"", проживає в селі Чернече Криничанського району Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,20.06.2019,M,62,11.10.1957,народний депутат України,проживає в селі Чернече Криничанського району Дніпропетровської області,41,-4.8,grey,1,6980,no,grey,NA
Дробіт Денис Миколайович,Самовисування,NA,NA,40,Дніпропетровська область,2019,40,NA,0,0,NA,"народився 11 жовтня 1994 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійний, проживає в місті Кам’янське Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,25.06.2019,M,25,11.10.1994,фізична особа – підприємець,проживає в місті Кам’янське Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Жадько Олена Анатоліївна,"Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",NA,NA,40,Дніпропетровська область,2019,40,Бойко Юрій,13.9448303142415,11986,NA,"народилася 18 травня 1967 року в селі Мар’янське Апостолівського району Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, Марганецький міський голова, член Політичної партії ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"", проживає в місті Марганець Дніпропетровської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ"".","Політична партія ""ОПОЗИЦІЙНА ПЛАТФОРМА – ЗА ЖИТТЯ""",24.06.2019,F,52,18.5.1967,Марганецький міський голова,проживає в місті Марганець Дніпропетровської області,41,-4.8,grey,0,0,no,blue,NA
Зайцева Анна Олександрівна,Самовисування,NA,NA,40,Дніпропетровська область,2019,40,NA,0,0,NA,"народилася 1 червня 1987 року в місті Кіровограді, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, фізична особа – підприємець, безпартійнa, проживає в місті Кропивницькому, судимість відсутня, самовисування.",Самовисування,25.06.2019,F,32,1.6.1987,фізична особа – підприємець,проживає в місті Кропивницькому,41,-4.8,grey,0,0,no,grey,NA
Кисіль Сергій Васильович,Самовисування,NA,NA,40,Дніпропетровська область,2019,40,NA,0,0,NA,"народився 22 грудня 1974 року в смт Томаківка Томаківського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова, ФГ ""Аврора Плюс"", безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",Самовисування,14.06.2019,M,45,22.12.1974,голова,проживає в місті Дніпрі,41,-4.8,grey,0,0,no,grey,NA
Кобзар Наталя Станіславівна,Самовисування,NA,NA,40,Дніпропетровська область,2019,40,NA,0,0,NA,"народилася 21 липня 1980 року в селі Ганнозачатівка Криничанського району Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, голова, Криничанська районна рада, безпартійнa, проживає в селі Світлогірське Криничанського району Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,19.06.2019,F,39,21.7.1980,голова,проживає в селі Світлогірське Криничанського району Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Кужман Олег Миколайович,Самовисування,NA,NA,40,Дніпропетровська область,2019,40,NA,0,0,NA,"народився 7 лютого 1970 року в місті Орджонікідзе Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, перший заступник голови, Дніпропетровська обласна державна адміністрація, безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",Самовисування,17.06.2019,M,49,7.2.1970,перший заступник голови,проживає в місті Дніпрі,41,-4.8,grey,0,0,no,grey,NA
Матвєєва Яна Володимирівна,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",NA,NA,40,Дніпропетровська область,2019,40,Вілкул Олександр,8.09512175258572,6958,NA,"народилася 11 березня 1979 року в місті Марганець Дніпропетровської області, громадянка України, протягом останніх п’яти років проживає на території України, освіта вища, виконувач обов’язків директора, державний професійно-технічний навчальний заклад ""Марганецький професійний ліцей"", член Політичної партії ""ОПОЗИЦІЙНИЙ БЛОК"", проживає в місті Марганець Дніпропетровської області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".","Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",25.06.2019,F,40,11.3.1979,виконувач обов’язків директора,проживає в місті Марганець Дніпропетровської області,41,-4.8,grey,0,0,no,blue,NA
Ніколайчук Андрій Анатолійович,Самовисування,NA,NA,40,Дніпропетровська область,2019,40,NA,0,0,NA,"народився 24 жовтня 1980 року в місті Дніпропетровську, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, начальник відділу передплати та реклами, ТОВ ""Газета ""Наше Місто"", безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",Самовисування,25.06.2019,M,39,24.10.1980,начальник відділу передплати та реклами,проживає в місті Дніпрі,41,-4.8,grey,0,0,no,grey,NA
Орлов Олег Анатолійович,"Політична Партія ""ПАТРІОТ""",NA,NA,40,Дніпропетровська область,2019,40,NA,0,0,NA,"народився 9 вересня 1970 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, провідний спеціаліст, КЗ ""Міський центр фізичного здоров’я населення ""Спорт для всіх""  Кам’янської міської ради, безпартійний, проживає в місті Кам’янське Дніпропетровської області, судимість відсутня, суб’єкт висування – Політична Партія ""ПАТРІОТ"".","Політична Партія ""ПАТРІОТ""",25.06.2019,M,49,9.9.1970,провідний спеціаліст,проживає в місті Кам’янське Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Прохоренко Василь Анатолійович,Самовисування,NA,NA,40,Дніпропетровська область,2019,40,NA,0,0,NA,"народився 18 квiтня 1979 року в смт Солоне Солонянського району Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, тимчасово не працює, безпартійний, проживає в смт Солоне Солонянського району Дніпропетровської області, судимість відсутня, самовисування.",Самовисування,20.06.2019,M,40,18.4.1979,тимчасово не працює,проживає в смт Солоне Солонянського району Дніпропетровської області,41,-4.8,grey,0,0,no,grey,NA
Рязанцев Іван Михайлович,"політична партія Всеукраїнське об’єднання ""Батьківщина""",NA,NA,40,Дніпропетровська область,2019,40,Тимошенко Юлія,10.6500063988459,9154,NA,"народився 20 сiчня 1964 року в станиці Тбіліська Тбіліського району Краснодарського краю, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Укррічбуд"", член політичної партії Всеукраїнське об’єднання ""Батьківщина"", проживає в селі Виводово Томаківського району Дніпропетровської області, судимість відсутня, суб’єкт висування – політична партія Всеукраїнське об’єднання ""Батьківщина"".","політична партія Всеукраїнське об’єднання ""Батьківщина""",24.06.2019,M,55,20.1.1964,директор,проживає в селі Виводово Томаківського району Дніпропетровської області,41,-4.8,grey,0,0,no,orange,NA
Сологуб Микола Миколайович,Самовисування,NA,NA,40,Дніпропетровська область,2019,40,NA,0,0,NA,"народився 9 грудня 1970 року в смт Березань Баришівського району Київської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора з комерційних питань, ТОВ ""Будівельна компанія Союз Дніпро"", безпартійний, проживає в місті Дніпрі, судимість відсутня, самовисування.",Самовисування,23.06.2019,M,49,9.12.1970,заступник директора з комерційних питань,проживає в місті Дніпрі,41,-4.8,grey,0,0,no,grey,NA
Трухін Олександр Миколайович,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",NA,NA,40,Дніпропетровська область,2019,40,Зеленський Володимир,44.3695973380801,38137,NA,"народився 10 листопада 1986 року в місті Дніпродзержинськ Дніпропетровської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, голова наглядової ради, ПрАТ ""ПРХ"", безпартійний, проживає в місті Дніпрі, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".","ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",25.06.2019,M,33,10.11.1986,голова наглядової ради,проживає в місті Дніпрі,41,-4.8,grey,0,0,yes,orange,NA
Барабаш Сергій Валерійович,Самовисування,NA,NA,45,Донецька область,2019,45,NA,0,0,NA,"народився 11 березня 1973 року в місті Димитрове Донецької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта загальна середня, фізична особа – підприємець, безпартійний, проживає в селі Новоселівка Ясинуватського району Донецької області, судимість відсутня, самовисування.",Самовисування,21.06.2019,M,46,11.3.1973,фізична особа – підприємець,проживає в селі Новоселівка Ясинуватського району Донецької області,42.5,NA,blue,0,0,no,grey,NA
Бичков Олег Євгенович,Самовисування,NA,NA,45,Донецька область,2019,45,NA,0,0,NA,"народився 19 жовтня 1969 року в місті Сухиничі Калузької області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, юрист, ПАТ ""АВДІЇВСЬКИЙ КОКСОХІМІЧНИЙ ЗАВОД"", безпартійний, проживає в місті Авдіївка Донецької області, судимість відсутня, самовисування.",Самовисування,17.06.2019,M,50,19.10.1969,юрист,проживає в місті Авдіївка Донецької області,42.5,NA,blue,0,0,no,grey,NA
Бордунов Едуард Вікторович,Самовисування,NA,NA,45,Донецька область,2019,45,NA,0,0,NA,"народився 8 липня 1970 року в селі Потопахіно Обоянського району Курської області, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, заступник директора, ПП ""Юридична фірма ""ФОКС"", безпартійний, проживає в місті Авдіївка Донецької області, судимість відсутня, самовисування.",Самовисування,10.06.2019,M,49,8.7.1970,заступник директора,проживає в місті Авдіївка Донецької області,42.5,NA,blue,0,0,no,grey,NA
Кюрджиєв Георгій Тимофійович,"ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",NA,NA,45,Донецька область,2019,45,Зеленський Володимир,17.4491829414109,4378,NA,"народився 26 червня 1982 року в місті Тбілісі, Грузія, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, директор, ПП ""Елко"", безпартійний, проживає в місті Авдіївка Донецької області, судимість відсутня, суб’єкт висування – ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ"".","ПОЛІТИЧНА ПАРТІЯ ""СЛУГА НАРОДУ""",25.06.2019,M,37,26.6.1982,директор,проживає в місті Авдіївка Донецької області,42.5,NA,blue,0,0,yes,orange,NA
Магомедов Муса Сергоєвич,"Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",NA,NA,45,Донецька область,2019,45,Вілкул Олександр,8.85213232363491,2221,NA,"народився 7 квiтня 1970 року в селі Іриб Чародинського району, Дагестан, громадянин України, протягом останніх п’яти років проживає на території України, освіта вища, генеральний директор, ПрАТ ""АВДІЇВСЬКИЙ КОКСОХІМІЧНИЙ ЗАВОД"", безпартійний, проживає в місті Авдіївка Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""ОПОЗИЦІЙНИЙ БЛОК"".","Політична партія ""ОПОЗИЦІЙНИЙ БЛОК""",25.06.2019,M,49,7.4.1970,генеральний директор,проживає в місті Авдіївка Донецької області,42.5,NA,blue,0,0,no,blue,NA
Оцвера Юлія Володимирівна,"Політична партія ""Європейська Солідарність""",NA,NA,45,Донецька область,2019,45,Порошенко Петро,26.7038660821044,6700,NA,"народилася 28 серпня 1982 року в селі Очеретине Ясинуватського району Донецької області, громадянка України, протягом останніх п’яти років проживає на території України, освіта професійно-технічна, вихователь-методист, заклад дошкільної освіти Очеретинський навчально-виховний комплекс, член Політичної партії ""Європейська Солідарність"", проживає в селі Очеретине Ясинуватського району Донецької області, судимість відсутня, суб’єкт висування – Політична партія ""Європейська Солідарність"".","Політична партія ""Європейська Солідарність""",24.06.2019,F,37,28.8.1982,вихователь-методист,проживає в селі Очеретине Ясинуватського району Донецької області,42.5,NA,blue,0,0,no,orange,NA
